Subject,Filename,Onset,Apex,Offset,AU,Objective class,emotion,label_for_7,label_for_3,imagename_apex,imagename_onset,imagename_apex_offset
spNO.1,b,166,175,179,4,III,disgust,4,0,spNO.1/b/color/175.jpg,spNO.1/b/color/166.jpg,spNO.1/b/color/179.jpg
spNO.1,h,181,185,194,38,VII,surprise,2,2,spNO.1/h/color/185.jpg,spNO.1/h/color/181.jpg,spNO.1/h/color/194.jpg
spNO.1,j,28,33,49,24,VII,happy,1,1,spNO.1/j/color/33.jpg,spNO.1/j/color/28.jpg,spNO.1/j/color/49.jpg
spNO.1,j,102,105,113,26+25,II,surprise,2,2,spNO.1/j/color/105.jpg,spNO.1/j/color/102.jpg,spNO.1/j/color/113.jpg
spNO.1,k,153,159,168,38,VII,happy,1,1,spNO.1/k/color/159.jpg,spNO.1/k/color/153.jpg,spNO.1/k/color/168.jpg
spNO.10,a,116,121,125,16+24,VII,disgust,4,0,spNO.10/a/color/121.jpg,spNO.10/a/color/116.jpg,spNO.10/a/color/125.jpg
spNO.10,d,162,164,165,5,II,surprise,2,2,spNO.10/d/color/164.jpg,spNO.10/d/color/162.jpg,spNO.10/d/color/165.jpg
spNO.10,f,278,279,280,18,VII,fear,5,0,spNO.10/f/color/279.jpg,spNO.10/f/color/278.jpg,spNO.10/f/color/280.jpg
spNO.10,f,280,281,285,28,VII,fear,5,0,spNO.10/f/color/281.jpg,spNO.10/f/color/280.jpg,spNO.10/f/color/285.jpg
spNO.10,i,2030,2035,2098,4,III,disgust,4,0,spNO.10/i/color/2035.jpg,spNO.10/i/color/2030.jpg,spNO.10/i/color/2098.jpg
spNO.10,i,2864,2868,2874,14,VII,anger,6,0,spNO.10/i/color/2868.jpg,spNO.10/i/color/2864.jpg,spNO.10/i/color/2874.jpg
spNO.10,j,1348,1351,1356,15,V,happy,1,1,spNO.10/j/color/1351.jpg,spNO.10/j/color/1348.jpg,spNO.10/j/color/1356.jpg
spNO.10,k,735,737,743,L2,VII,surprise,2,2,spNO.10/k/color/737.jpg,spNO.10/k/color/735.jpg,spNO.10/k/color/743.jpg
spNO.10,k,2067,2069,2072,L2,VII,surprise,2,2,spNO.10/k/color/2069.jpg,spNO.10/k/color/2067.jpg,spNO.10/k/color/2072.jpg
spNO.10,l,1086,1090,1094,4,III,anger,6,0,spNO.10/l/color/1090.jpg,spNO.10/l/color/1086.jpg,spNO.10/l/color/1094.jpg
spNO.10,l,1407,1414,1424,4,III,surprise,2,2,spNO.10/l/color/1414.jpg,spNO.10/l/color/1407.jpg,spNO.10/l/color/1424.jpg
spNO.11,a,26,30,37,4,III,disgust,4,0,spNO.11/a/color/30.jpg,spNO.11/a/color/26.jpg,spNO.11/a/color/37.jpg
spNO.11,a,205,207,212,25,II,surprise,2,2,spNO.11/a/color/207.jpg,spNO.11/a/color/205.jpg,spNO.11/a/color/212.jpg
spNO.11,a,234,242,250,14,VII,disgust,4,0,spNO.11/a/color/242.jpg,spNO.11/a/color/234.jpg,spNO.11/a/color/250.jpg
spNO.11,a,413,415,418,25,II,disgust,4,0,spNO.11/a/color/415.jpg,spNO.11/a/color/413.jpg,spNO.11/a/color/418.jpg
spNO.11,d,1982,1986,1990,L2,VII,fear,5,0,spNO.11/d/color/1986.jpg,spNO.11/d/color/1982.jpg,spNO.11/d/color/1990.jpg
spNO.11,d,2487,2495,2506,14+24,VII,fear,5,0,spNO.11/d/color/2495.jpg,spNO.11/d/color/2487.jpg,spNO.11/d/color/2506.jpg
spNO.11,e,856,864,872,4,III,disgust,4,0,spNO.11/e/color/864.jpg,spNO.11/e/color/856.jpg,spNO.11/e/color/872.jpg
spNO.11,g,2001,2008,2026,24+14,VII,sad,3,0,spNO.11/g/color/2008.jpg,spNO.11/g/color/2001.jpg,spNO.11/g/color/2026.jpg
spNO.11,h,316,324,338,25,II,surprise,2,2,spNO.11/h/color/324.jpg,spNO.11/h/color/316.jpg,spNO.11/h/color/338.jpg
spNO.11,i,797,807,811,12,I,anger,6,0,spNO.11/i/color/807.jpg,spNO.11/i/color/797.jpg,spNO.11/i/color/811.jpg
spNO.11,i,2740,2748,2758,4+18+9+25,VII,disgust,4,0,spNO.11/i/color/2748.jpg,spNO.11/i/color/2740.jpg,spNO.11/i/color/2758.jpg
spNO.11,m,1602,1609,1621,R14,VII,anger,6,0,spNO.11/m/color/1609.jpg,spNO.11/m/color/1602.jpg,spNO.11/m/color/1621.jpg
spNO.11,m,2240,2245,2255,14,VII,anger,6,0,spNO.11/m/color/2245.jpg,spNO.11/m/color/2240.jpg,spNO.11/m/color/2255.jpg
spNO.12,a,385,392,404,7,VII,disgust,4,0,spNO.12/a/color/392.jpg,spNO.12/a/color/385.jpg,spNO.12/a/color/404.jpg
spNO.12,g,1666,1672,1695,7,VII,anger,6,0,spNO.12/g/color/1672.jpg,spNO.12/g/color/1666.jpg,spNO.12/g/color/1695.jpg
spNO.13,d,787,792,800,16+24,VII,fear,5,0,spNO.13/d/color/792.jpg,spNO.13/d/color/787.jpg,spNO.13/d/color/800.jpg
spNO.13,l,2080,2088,2096,14,VII,sad,3,0,spNO.13/l/color/2088.jpg,spNO.13/l/color/2080.jpg,spNO.13/l/color/2096.jpg
spNO.13,l,2096,2099,2107,24,VII,sad,3,0,spNO.13/l/color/2099.jpg,spNO.13/l/color/2096.jpg,spNO.13/l/color/2107.jpg
spNO.138,c,721,728,739,7,VII,surprise,2,2,spNO.138/c/color/728.jpg,spNO.138/c/color/721.jpg,spNO.138/c/color/739.jpg
spNO.139,l,463,470,477,4,III,sad,3,0,spNO.139/l/color/470.jpg,spNO.139/l/color/463.jpg,spNO.139/l/color/477.jpg
spNO.14,a,474,481,688,38,VII,disgust,4,0,spNO.14/a/color/481.jpg,spNO.14/a/color/474.jpg,spNO.14/a/color/688.jpg
spNO.14,e,2154,2160,2172,L14,VII,sad,3,0,spNO.14/e/color/2160.jpg,spNO.14/e/color/2154.jpg,spNO.14/e/color/2172.jpg
spNO.142,a,634,642,647,12,I,surprise,2,2,spNO.142/a/color/642.jpg,spNO.142/a/color/634.jpg,spNO.142/a/color/647.jpg
spNO.142,c,33,39,51,4,III,disgust,4,0,spNO.142/c/color/39.jpg,spNO.142/c/color/33.jpg,spNO.142/c/color/51.jpg
spNO.142,c,2843,2851,2870,24+14,VII,disgust,4,0,spNO.142/c/color/2851.jpg,spNO.142/c/color/2843.jpg,spNO.142/c/color/2870.jpg
spNO.142,g,1408,1414,1441,24+14,VII,sad,3,0,spNO.142/g/color/1414.jpg,spNO.142/g/color/1408.jpg,spNO.142/g/color/1441.jpg
spNO.142,g,1566,1570,1578,24,VII,sad,3,0,spNO.142/g/color/1570.jpg,spNO.142/g/color/1566.jpg,spNO.142/g/color/1578.jpg
spNO.142,h,5,13,39,14+24,VII,anger,6,0,spNO.142/h/color/13.jpg,spNO.142/h/color/5.jpg,spNO.142/h/color/39.jpg
spNO.142,h,1426,1429,1436,R14,VII,anger,6,0,spNO.142/h/color/1429.jpg,spNO.142/h/color/1426.jpg,spNO.142/h/color/1436.jpg
spNO.142,h,2991,3001,3006,38,VII,anger,6,0,spNO.142/h/color/3001.jpg,spNO.142/h/color/2991.jpg,spNO.142/h/color/3006.jpg
spNO.142,i,11,11,83,14,VII,anger,6,0,spNO.142/i/color/11.jpg,spNO.142/i/color/11.jpg,spNO.142/i/color/83.jpg
spNO.142,i,518,525,532,4,III,disgust,4,0,spNO.142/i/color/525.jpg,spNO.142/i/color/518.jpg,spNO.142/i/color/532.jpg
spNO.142,i,1308,1314,1333,14,VII,anger,6,0,spNO.142/i/color/1314.jpg,spNO.142/i/color/1308.jpg,spNO.142/i/color/1333.jpg
spNO.142,i,1462,1469,1488,4,III,disgust,4,0,spNO.142/i/color/1469.jpg,spNO.142/i/color/1462.jpg,spNO.142/i/color/1488.jpg
spNO.142,j,7,7,42,25+12,VII,happy,1,1,spNO.142/j/color/7.jpg,spNO.142/j/color/7.jpg,spNO.142/j/color/42.jpg
spNO.142,m,2231,2236,2253,L14,VII,anger,6,0,spNO.142/m/color/2236.jpg,spNO.142/m/color/2231.jpg,spNO.142/m/color/2253.jpg
spNO.144,a,20,27,33,R12,I,disgust,4,0,spNO.144/a/color/27.jpg,spNO.144/a/color/20.jpg,spNO.144/a/color/33.jpg
spNO.144,d,2384,2390,2414,21,VII,fear,5,0,spNO.144/d/color/2390.jpg,spNO.144/d/color/2384.jpg,spNO.144/d/color/2414.jpg
spNO.144,d,3048,3055,3063,L2+L1,II,surprise,2,2,spNO.144/d/color/3055.jpg,spNO.144/d/color/3048.jpg,spNO.144/d/color/3063.jpg
spNO.144,d,4414,4417,4425,5,II,surprise,2,2,spNO.144/d/color/4417.jpg,spNO.144/d/color/4414.jpg,spNO.144/d/color/4425.jpg
spNO.144,g,422,426,433,9,IV,sad,3,0,spNO.144/g/color/426.jpg,spNO.144/g/color/422.jpg,spNO.144/g/color/433.jpg
spNO.144,g,884,890,898,L2+L1,II,surprise,2,2,spNO.144/g/color/890.jpg,spNO.144/g/color/884.jpg,spNO.144/g/color/898.jpg
